filename,title,duration,bpm,beat_strength,energy,energy_variance,brightness,contrast,dynamic_range,onset_rate,bpm_norm,energy_norm,brightness_norm,onset_rate_norm,beat_strength_norm,intensity_score,warmup_score,cooldown_score,motivation_score,phase,sustain_score,cumulative_time,start_time
"Love Me - Lil Wayne, Drake, Future.m4a","Love Me   Lil Wayne, Drake, Future",264.96290249433105,123.046875,0.20958834886550903,0.688425600528717,0.06661786884069443,0.23840165224051,22.792211748041225,0.26314371824264526,2.702265084129349,0.46218487394957986,0.6217523661366352,0.6085300594976027,0.23168429283508066,0.14336455717672203,0.42141407497533523,0.9785859250246648,0.5785859250246648,0.4542422979003783,warmup,,264.96290249433105,0.0
Caroline - Aminé.m4a,Caroline   Aminé,248.89469387755102,117.45383522727273,0.22117574512958527,0.794161930680275,0.14062674343585968,0.22922206949142646,22.86878596759682,0.7272557616233826,2.4347646410579347,0.4010695187165776,0.7501150196829145,0.560152796274271,0.1506875118867886,0.17874329429260996,0.43718028797143926,0.9628197120285608,0.5628197120285607,0.5005468651798541,warmup,,513.8575963718821,264.96290249433105
"MISS THE RAGE - XAE.Miami, Mario Judah.m4a","MISS THE RAGE   XAE.Miami, Mario Judah",236.90013605442178,151.99908088235293,0.39103609323501587,1.0,0.2660176455974579,0.23494161189954876,22.25254709501195,0.8582400679588318,4.567325363424182,0.778546712802768,1.0,0.5902953219378003,0.7964081383842808,0.6973623580650292,0.7821255245245513,0.6178744754754487,0.2178744754754487,0.6744735016815665,peak,,750.7577324263038,513.8575963718821
ORANGE SODA - Baby Keem.m4a,ORANGE SODA   Baby Keem,146.40181405895692,172.265625,0.3330722153186798,0.9603898227214813,0.09614941477775574,0.18573085142546225,22.754193149128465,0.43602174520492554,4.077818323750991,1.0,0.9519137135209692,0.33094999242237155,0.648189712987238,0.5203865515693876,0.7794221853935228,0.6205778146064772,0.22057781460647718,0.580184370020334,peak,,897.1595464852608,750.7577324263038
"Ski - Young Stoner Life, Young Thug, Gunna.m4a","Ski   Young Stoner Life, Young Thug, Gunna",154.5055782312925,123.046875,0.37354013323783875,1.0,0.18529009819030762,0.2843789102045082,22.08414264561484,0.6185060739517212,4.427024628043283,0.46218487394957986,1.0,0.8508345270980971,0.753926309942983,0.6439435437582098,0.6910395071235593,0.7089604928764407,0.3089604928764407,0.719582958714755,sustain,0.8281655780782768,1051.6651247165532,897.1595464852608
20 Min - Lil Uzi Vert.m4a,20 Min   Lil Uzi Vert,220.59972789115648,123.046875,0.4402949810028076,1.0,0.09839705377817154,0.24039726222157504,22.766606479455362,0.5759190320968628,4.768818212319169,0.46218487394957986,1.0,0.6190471115231679,0.8574184004878004,0.8477600143841268,0.7250888947855166,0.6749111052144834,0.27491110521448336,0.6999274147057566,sustain,0.8099208909092472,1272.2648526077096,1051.6651247165532
Myron - Lil Uzi Vert.m4a,Myron   Lil Uzi Vert,225.39609977324264,151.99908088235293,0.38039129972457886,1.0,0.15182232856750488,0.26016995431736173,22.954013091447838,0.5458638072013855,4.534239949263418,0.778546712802768,1.0,0.7232510558960497,0.7863901660303154,0.6648615837171102,0.7779929713516709,0.6220070286483291,0.2220070286483291,0.6968067310690416,peak,,1497.6609523809523,1272.2648526077096
"Realer N Realer - Future, Juice WRLD.m4a","Realer N Realer   Future, Juice WRLD",172.40816326530611,151.99908088235293,0.3638487160205841,1.0,0.14945343136787415,0.2146191275798184,23.810011354006637,0.6033897995948792,4.529947916666667,0.778546712802768,1.0,0.4831939209088938,0.785090576317228,0.614353626041093,0.7744245366682543,0.6255754633317457,0.22557546333174572,0.6421782705900124,peak,,1670.0691156462583,1497.6609523809523
"Yeah! (feat. Lil Jon & Ludacris) - USHER, Lil Jon, Ludacris.m4a","Yeah! (feat. Lil Jon & Ludacris)   USHER, Lil Jon, Ludacris",252.9814058956916,103.359375,0.4290459156036377,0.9273098409175873,0.06780623644590378,0.3126830495992478,24.38192453464373,0.3656935393810272,3.759169558857274,0.24705882352941178,0.9117550070714063,1.0,0.5517056701452983,0.8134142719509891,0.5770292755071323,0.8229707244928677,0.42297072449286766,0.7363203690700177,sustain,0.7926039316448636,1923.0505215419498,1670.0691156462583
"Met Gala (feat. Offset) - Gucci Mane, Offset.m4a","Met Gala (feat. Offset)   Gucci Mane, Offset",206.16997732426304,143.5546875,0.29704901576042175,1.0,0.08746844530105591,0.15644789959916477,22.731268605120448,0.3484906852245331,4.68060390035477,0.6862745098039216,1.0,0.17662608607724165,0.8307078828503504,0.4104002113942521,0.7471200071731348,0.6528799928268653,0.25287999282686524,0.5541448235196171,peak,,2129.220498866213,1923.0505215419498
"Tell Em - Cochise, $NOT.m4a","Tell Em   Cochise, $NOT",207.40063492063493,161.4990234375,0.277446448802948,1.0,0.14064174890518188,0.21229231536219334,22.91351474392512,0.5435261130332947,3.7174428144592473,0.8823529411764706,1.0,0.47093140199053113,0.5390711790136702,0.35054948674654857,0.7338917608574413,0.6661082391425587,0.26610823914255866,0.6051648599192854,peak,,2336.6211337868476,2129.220498866213
